'84'	'1'	'999'	'2'
'12'	'1'	'5302'	'6'
'86'	'1'	'4430'	'4'
'16'	'1'	'2873'	'4'
'78'	'1'	'3926'	'3'
'27'	'1'	'120'	'2'
'82'	'1'	'333'	'6'
'29'	'2'	'1791'	'2'
'39'	'2'	'6755'	'1'
'45'	'2'	'8420'	'1'
'12'	'2'	'1796'	'4'
'65'	'2'	'8249'	'7'
'46'	'2'	'3938'	'2'
'83'	'2'	'9862'	'10'
'95'	'2'	'80'	'10'
'19'	'2'	'7421'	'10'
'49'	'2'	'3090'	'4'
'19'	'3'	'1899'	'3'
'3'	'3'	'1240'	'6'
'51'	'3'	'1088'	'6'
'66'	'3'	'1228'	'1'
'84'	'3'	'495'	'2'
'47'	'3'	'1538'	'6'
'65'	'4'	'1191'	'4'
'78'	'4'	'3942'	'6'
'23'	'4'	'103'	'4'
'82'	'4'	'4143'	'2'
'53'	'4'	'5435'	'6'
'61'	'4'	'1744'	'7'
'30'	'4'	'4878'	'2'
'33'	'5'	'4517'	'5'
'95'	'5'	'4766'	'4'
'43'	'5'	'2758'	'3'
'82'	'5'	'4584'	'5'
'21'	'5'	'3387'	'4'
'61'	'6'	'405'	'2'
'91'	'6'	'1002'	'1'
'44'	'6'	'956'	'1'
'58'	'7'	'263'	'1'
'40'	'8'	'661'	'4'
'27'	'8'	'3648'	'2'
'98'	'8'	'3481'	'2'
'64'	'8'	'3765'	'4'
'94'	'9'	'2183'	'6'
'89'	'9'	'3241'	'6'
'77'	'9'	'974'	'1'
'50'	'9'	'2104'	'1'
'67'	'9'	'616'	'4'
'32'	'9'	'1252'	'4'
'75'	'9'	'2618'	'7'
'15'	'10'	'1009'	'7'
'53'	'10'	'1456'	'8'
'67'	'10'	'8231'	'6'
'62'	'10'	'9914'	'8'
'70'	'10'	'8124'	'2'
'57'	'10'	'3600'	'8'
'44'	'10'	'9773'	'7'
'34'	'10'	'1071'	'8'
'39'	'10'	'7557'	'9'
'26'	'10'	'6445'	'10'
'66'	'11'	'5201'	'4'
'25'	'11'	'8300'	'5'
'36'	'11'	'5139'	'3'
'87'	'11'	'375'	'7'
'32'	'11'	'575'	'5'
'45'	'11'	'2271'	'10'
'95'	'11'	'7241'	'2'
'60'	'11'	'7461'	'1'
'49'	'11'	'3322'	'5'
'64'	'11'	'8247'	'6'
'30'	'12'	'1066'	'2'
'47'	'12'	'957'	'1'
'35'	'13'	'1497'	'2'
'61'	'13'	'152'	'1'
'83'	'13'	'3476'	'3'
'70'	'13'	'516'	'1'
'65'	'14'	'88'	'1'
'37'	'15'	'879'	'1'
'20'	'16'	'2583'	'3'
'30'	'16'	'1176'	'2'
'77'	'16'	'858'	'2'
'41'	'17'	'910'	'5'
'28'	'17'	'4625'	'1'
'81'	'17'	'5022'	'1'
'94'	'17'	'1549'	'4'
'3'	'17'	'1767'	'6'
'12'	'17'	'1350'	'5'
'93'	'17'	'2261'	'6'
'1'	'18'	'88'	'3'
'5'	'18'	'3230'	'5'
'84'	'18'	'2785'	'6'
'61'	'18'	'2721'	'5'
'56'	'18'	'2866'	'3'
'85'	'18'	'1794'	'7'
'39'	'18'	'530'	'8'
'19'	'18'	'2433'	'5'
'86'	'19'	'1064'	'1'
'32'	'19'	'413'	'2'
'16'	'19'	'2647'	'4'
'22'	'19'	'2505'	'3'
'10'	'20'	'253'	'5'
'76'	'20'	'713'	'2'
'73'	'20'	'547'	'5'
'4'	'20'	'4525'	'2'
'19'	'20'	'1884'	'3'
'88'	'21'	'3984'	'2'
'91'	'21'	'5230'	'1'
'75'	'21'	'3836'	'4'
'2'	'21'	'5358'	'5'
'13'	'21'	'2753'	'2'
'48'	'21'	'5685'	'2'
'82'	'22'	'140'	'1'
'78'	'22'	'1180'	'1'
'32'	'23'	'943'	'1'
'19'	'24'	'2072'	'10'
'2'	'24'	'8232'	'10'
'39'	'24'	'7924'	'2'
'18'	'24'	'7116'	'5'
'37'	'24'	'206'	'3'
'72'	'24'	'3399'	'7'
'64'	'24'	'9265'	'10'
'7'	'24'	'5981'	'4'
'28'	'24'	'7466'	'10'
'96'	'24'	'5428'	'5'
'50'	'25'	'9602'	'9'
'58'	'25'	'501'	'10'
'38'	'25'	'5853'	'2'
'88'	'25'	'3988'	'7'
'70'	'25'	'56'	'8'
'55'	'25'	'3868'	'3'
'62'	'25'	'5057'	'10'
'97'	'25'	'6815'	'4'
'84'	'25'	'8520'	'6'
'15'	'25'	'7210'	'1'
'44'	'26'	'2077'	'3'
'53'	'26'	'364'	'3'
'5'	'26'	'3558'	'2'
'28'	'26'	'580'	'2'
'52'	'27'	'4883'	'5'
'42'	'27'	'980'	'5'
'86'	'27'	'577'	'5'
'90'	'27'	'1589'	'5'
'74'	'27'	'4472'	'4'
'83'	'28'	'6649'	'1'
'89'	'28'	'2349'	'2'
'63'	'28'	'6409'	'7'
'65'	'28'	'4501'	'3'
'80'	'28'	'1300'	'5'
'11'	'28'	'4473'	'7'
'1'	'28'	'1616'	'4'
'55'	'29'	'5355'	'2'
'86'	'29'	'4659'	'3'
'68'	'29'	'4306'	'5'
'23'	'29'	'5204'	'2'
'16'	'29'	'719'	'1'
'30'	'29'	'2181'	'2'
'3'	'30'	'981'	'1'
'19'	'31'	'2817'	'1'
'1'	'31'	'1331'	'4'
'92'	'31'	'2573'	'4'
'4'	'31'	'1924'	'4'
'49'	'32'	'9550'	'7'
'82'	'32'	'1512'	'5'
'90'	'32'	'9187'	'1'
'21'	'32'	'1090'	'6'
'72'	'32'	'7035'	'2'
'37'	'32'	'8925'	'7'
'23'	'32'	'1483'	'10'
'68'	'32'	'8886'	'2'
'9'	'32'	'2688'	'7'
'85'	'32'	'6318'	'3'
'54'	'33'	'448'	'1'
'38'	'34'	'60'	'8'
'49'	'34'	'1142'	'10'
'52'	'34'	'990'	'9'
'42'	'34'	'8641'	'3'
'53'	'34'	'8119'	'7'
'87'	'34'	'2846'	'5'
'92'	'34'	'9071'	'6'
'50'	'34'	'942'	'3'
'91'	'34'	'8843'	'10'
'40'	'34'	'7518'	'1'
'96'	'35'	'753'	'1'
'89'	'35'	'2934'	'3'
'10'	'35'	'471'	'3'
'3'	'36'	'508'	'4'
'11'	'36'	'2638'	'5'
'68'	'36'	'2506'	'5'
'6'	'36'	'750'	'1'
'27'	'36'	'1359'	'3'
'98'	'37'	'1416'	'6'
'38'	'37'	'4655'	'6'
'24'	'37'	'6550'	'1'
'94'	'37'	'6972'	'2'
'31'	'37'	'555'	'6'
'99'	'37'	'3720'	'4'
'82'	'37'	'2010'	'2'
'6'	'38'	'3624'	'5'
'23'	'38'	'6201'	'3'
