'11'	'2'	'9'
'11'	'47'	'9'
'11'	'27'	'9'
'11'	'26'	'9'
'11'	'81'	'9'
'11'	'78'	'9'
'11'	'57'	'9'
'11'	'36'	'9'
'11'	'94'	'9'
'12'	'26'	'2'
'12'	'28'	'2'
'13'	'24'	'10'
'13'	'52'	'10'
'13'	'35'	'10'
'13'	'11'	'10'
'13'	'45'	'10'
'13'	'67'	'10'
'13'	'16'	'10'
'13'	'27'	'10'
'13'	'59'	'10'
'13'	'46'	'10'
'14'	'44'	'10'
'14'	'63'	'10'
'14'	'70'	'10'
'14'	'64'	'10'
'14'	'60'	'10'
'14'	'39'	'10'
'14'	'65'	'10'
'14'	'38'	'10'
'14'	'71'	'10'
'14'	'97'	'10'
'15'	'78'	'5'
'15'	'71'	'5'
'15'	'79'	'5'
'15'	'48'	'5'
'15'	'28'	'5'
'16'	'13'	'3'
'16'	'85'	'3'
'16'	'92'	'3'
'17'	'7'	'8'
'17'	'57'	'8'
'17'	'14'	'8'
'17'	'93'	'8'
'17'	'71'	'8'
'17'	'54'	'8'
'17'	'38'	'8'
'17'	'56'	'8'
'18'	'31'	'9'
'18'	'43'	'9'
'18'	'65'	'9'
'18'	'21'	'9'
'18'	'20'	'9'
'18'	'38'	'9'
'18'	'22'	'9'
'18'	'72'	'9'
'18'	'25'	'9'
'19'	'58'	'8'
'19'	'26'	'8'
'19'	'14'	'8'
'19'	'32'	'8'
'19'	'50'	'8'
'19'	'73'	'8'
'19'	'65'	'8'
'19'	'25'	'8'
'21'	'69'	'6'
'21'	'62'	'6'
'21'	'28'	'6'
'21'	'10'	'6'
'21'	'29'	'6'
'21'	'4'	'6'
'22'	'88'	'8'
'22'	'38'	'8'
'22'	'30'	'8'
'22'	'74'	'8'
'22'	'61'	'8'
'22'	'92'	'8'
'22'	'77'	'8'
'22'	'79'	'8'
'23'	'37'	'3'
'23'	'85'	'3'
'23'	'67'	'3'
'31'	'25'	'2'
'31'	'17'	'2'
'32'	'20'	'7'
'32'	'50'	'7'
'32'	'78'	'7'
'32'	'83'	'7'
'32'	'59'	'7'
'32'	'93'	'7'
'32'	'21'	'7'
'33'	'15'	'3'
'33'	'69'	'3'
'33'	'31'	'3'
'41'	'74'	'9'
'41'	'99'	'9'
'41'	'57'	'9'
'41'	'86'	'9'
'41'	'49'	'9'
'41'	'77'	'9'
'41'	'25'	'9'
'41'	'56'	'9'
'41'	'19'	'9'
'42'	'57'	'2'
'42'	'53'	'2'
'43'	'93'	'8'
'43'	'53'	'8'
'43'	'48'	'8'
'43'	'6'	'8'
'43'	'84'	'8'
'43'	'2'	'8'
'43'	'66'	'8'
'43'	'69'	'8'
'44'	'87'	'3'
'44'	'64'	'3'
'44'	'27'	'3'
'45'	'35'	'10'
'45'	'53'	'10'
'45'	'57'	'10'
'45'	'69'	'10'
'45'	'22'	'10'
'45'	'61'	'10'
'45'	'47'	'10'
'45'	'14'	'10'
'45'	'60'	'10'
'45'	'1'	'10'
'46'	'1'	'10'
'46'	'39'	'10'
